startYear	Group1	Group7	Group2	Group6	Group8	\N	Group10	Group9	Group5	Group4	Group11	Group3
1894	0	0	0	0	0	0	0	0	0	0	1	0
1897	0	0	0	0	2	0	0	0	0	2	0	0
1905	1	0	1	0	0	5	0	0	1	11	0	0
1906	0	0	1	1	4	5	0	0	1	16	0	0
1907	6	0	1	0	0	8	0	0	0	3	0	0
1908	2	0	0	0	1	13	0	0	1	6	0	0
1909	9	1	2	5	1	55	0	0	3	19	1	0
1910	22	1	2	3	3	49	0	0	4	29	1	0
1912	124	0	0	11	0	173	0	0	16	33	11	0
1911	54	0	0	7	0	83	0	0	9	18	4	0
1913	282	0	1	27	2	298	0	0	40	53	21	0
1915	830	1	1	134	7	564	0	0	145	95	65	0
1914	569	2	1	69	1	427	1	0	98	81	35	0
1919	1156	0	5	342	14	858	0	0	250	98	154	0
1916	1195	2	2	184	4	660	0	0	161	70	106	0
1917	1221	7	3	220	5	695	0	0	226	57	108	0
1936	1045	40	221	522	15	413	1	0	332	274	263	0
1925	819	17	10	229	16	749	0	0	395	119	154	1
1918	1128	8	1	307	3	760	0	0	247	93	146	0
1920	1061	5	5	258	14	1170	0	0	233	91	113	0
1922	794	9	4	216	13	1019	0	0	244	80	158	0
1921	880	7	3	241	4	1309	0	0	237	70	130	0
1924	710	9	10	162	8	863	0	0	277	65	132	1
1923	736	8	2	191	12	834	0	0	228	118	135	0
1928	1120	11	20	252	13	569	0	0	302	157	203	0
2019	9304	1114	828	3435	364	859	162	4	2722	7650	1275	103
2021	9092	930	791	2896	318	871	107	6	2653	6643	1214	100
1926	1024	5	5	275	9	507	0	0	379	127	218	0
1927	1082	12	8	303	15	561	0	0	317	153	209	0
1929	1098	6	109	217	17	565	0	0	249	134	207	0
2000	3198	333	345	1301	82	912	27	1	956	2289	616	10
1993	2532	245	241	931	33	993	121	0	937	1104	444	6
1935	959	23	215	459	9	400	0	0	303	109	268	0
1930	984	17	200	304	8	506	0	0	220	159	269	0
1942	773	35	170	421	8	259	0	0	363	117	189	0
1932	999	11	122	381	26	411	0	1	234	265	218	0
1931	1084	15	127	351	10	511	0	0	204	95	219	0
1934	974	16	212	447	11	419	1	0	201	121	278	0
1939	1033	46	221	472	9	373	1	0	360	137	236	0
\N	51859	3622	1477	14419	767	4863	120	5	21356	11948	4081	252
1937	1067	37	254	524	18	352	0	0	360	248	293	0
1933	952	15	163	413	12	406	0	0	187	253	228	0
1950	1077	67	159	408	16	409	0	0	375	174	163	0
1938	1091	37	249	523	17	373	0	0	345	139	274	0
1951	1124	79	200	440	22	362	0	0	375	147	213	1
1946	805	35	170	311	1	246	0	0	303	82	172	1
1940	885	45	190	445	10	350	0	0	335	111	201	0
1944	604	42	191	299	4	219	0	0	301	73	182	0
1947	945	62	174	343	12	260	0	0	291	134	170	0
1941	772	36	199	467	11	261	0	0	321	99	207	0
1952	1098	86	195	502	18	486	0	0	370	203	202	0
1970	2404	217	332	989	36	1006	134	0	931	676	430	2
1957	1639	141	245	639	12	457	0	0	502	303	291	0
1943	667	29	173	365	5	235	0	0	323	97	170	0
1948	994	51	156	359	12	351	1	0	316	108	177	0
1945	584	27	159	271	1	216	0	0	265	94	149	0
2001	3268	331	318	1440	81	977	26	1	1078	2561	680	14
1949	1080	61	176	405	11	331	0	0	322	139	199	0
1953	1205	126	213	540	19	544	0	0	392	215	230	0
1954	1281	144	202	526	14	627	0	0	407	224	257	0
1965	1989	134	379	899	22	854	7	2	824	462	376	4
1983	2525	280	284	958	43	1001	314	0	850	830	360	3
1980	2479	236	274	1009	40	1058	266	0	870	817	304	3
1973	2406	225	225	924	33	1000	232	1	892	624	301	2
1961	1852	151	309	834	12	625	0	1	653	336	329	0
1955	1290	145	238	584	16	636	0	0	403	255	268	1
1962	1847	174	362	890	9	607	0	0	622	309	319	0
1958	1670	127	277	707	11	493	0	0	517	262	342	2
1956	1462	117	267	588	17	518	0	0	454	212	287	0
1977	2269	226	201	917	39	966	318	0	826	663	308	0
1964	1920	128	375	943	15	661	0	0	743	443	339	4
1960	1846	156	280	780	8	535	1	0	564	340	342	2
1959	1684	136	287	740	15	547	0	0	543	268	331	0
1967	2102	158	410	900	17	893	1	0	843	471	359	2
1968	2331	151	299	876	24	968	21	1	861	516	387	1
1963	1806	140	388	909	16	662	1	0	633	427	280	2
1986	2659	324	277	1006	41	946	358	0	951	761	381	7
1971	2425	169	263	969	24	1059	281	0	889	626	374	4
1969	2434	172	302	932	20	880	23	0	933	556	409	0
1972	2375	200	284	973	35	1039	190	0	896	606	366	6
1966	2060	176	352	891	18	813	2	0	945	407	362	0
1976	2240	230	204	995	36	961	370	0	777	650	325	1
1990	2756	251	213	1023	29	1103	443	0	1140	979	359	10
1979	2306	270	272	972	54	1090	376	0	888	710	311	3
1974	2444	215	190	970	31	908	200	1	871	602	373	2
1981	2489	267	282	1016	30	1025	310	0	795	756	335	5
2020	7627	832	733	2647	345	576	209	3	2287	6662	998	159
1988	2830	273	261	1024	32	901	290	0	1114	898	412	4
1975	2306	197	236	1019	24	990	361	0	785	657	307	6
1978	2327	231	256	909	36	1027	350	0	782	677	312	3
1989	2877	241	219	1085	35	819	349	0	1092	904	378	5
1985	2529	277	277	1024	35	1108	468	0	897	779	382	5
1995	2613	271	209	1030	54	1013	115	0	1049	1392	459	10
1987	2785	318	265	1010	43	920	292	1	1016	800	363	4
2018	9613	1052	828	3788	388	792	153	6	2848	7728	1373	108
1984	2514	301	286	1000	41	1112	394	0	798	787	355	5
1992	2497	215	209	1022	44	991	121	0	990	1113	436	7
1982	2505	313	308	1022	31	1005	249	0	798	765	348	5
1991	2709	248	222	1021	42	976	124	0	1054	1062	372	5
2022	10109	949	711	3515	264	798	83	0	2840	6301	1336	72
1996	2623	285	232	1065	63	1007	53	0	931	1506	451	12
1994	2500	260	193	1017	62	889	93	0	978	1280	405	7
2005	4239	411	497	1875	124	574	34	1	1169	4210	786	31
1998	2790	295	269	1228	63	1022	43	0	958	1840	579	12
2002	3427	317	338	1446	102	884	35	0	1065	2836	753	22
1997	2722	285	249	1158	53	972	71	0	929	1714	485	8
2009	6156	653	700	2606	220	622	45	1	1710	5918	881	51
2017	9445	1134	863	3725	372	852	135	4	2996	8185	1283	86
2006	4561	486	560	1973	168	567	43	0	1222	4401	750	51
1999	2884	327	279	1248	63	1028	38	0	928	1996	549	12
2004	3712	346	429	1647	128	509	25	0	1136	3741	710	24
2023	4812	534	273	1664	91	424	15	0	1544	2581	633	28
2015	8875	1175	923	3623	427	733	73	5	2772	7887	1342	102
2008	5317	528	614	2251	210	644	67	1	1473	5205	837	56
2003	3535	390	375	1656	97	636	26	0	1065	3247	700	27
2007	4878	487	565	2031	188	640	41	0	1357	4856	816	65
1903	2	0	0	0	0	0	0	0	0	3	0	0
1898	0	0	0	0	0	0	0	0	0	7	0	0
1899	0	0	0	0	3	0	0	0	0	8	0	0
2012	7643	1058	895	3204	370	555	64	3	2309	7095	1062	77
2010	6649	794	756	2742	232	571	50	1	2029	6240	1010	61
2013	8322	1200	872	3365	348	507	68	3	2493	7241	1211	84
2011	7059	965	841	2958	295	638	58	3	2223	6649	1023	71
1904	0	0	0	0	1	0	0	0	0	2	0	0
