group,variable,value
Documentary,Horror,6.331531531531533
Documentary,Sci-Fi,6.800000000000001
Documentary,Thriller,7.080898876404495
Documentary,Action,7.261377245508982
Documentary,Western,7.187878787878791
Documentary,Adventure,7.342515592515591
Documentary,Mystery,6.9403225806451605
Documentary,Comedy,7.048885350318474
Documentary,Fantasy,6.976237623762375
Documentary,Crime,7.0092206366630005
Documentary,Romance,6.985465116279071
Documentary,Family,7.346998867497182
Documentary,Drama,7.24564564564564
Documentary,Musical,7.262068965517241
Documentary,War,7.309015639374424
Documentary,Animation,7.396603773584906
Documentary,Sport,7.382243517474646
Documentary,History,7.292046556741022
Documentary,Music,7.4334486735870655
Documentary,Biography,7.297538837493441
Documentary,Documentary,7.174704211436348
Biography,Horror,5.9899999999999975
Biography,Sci-Fi,6.791666666666667
Biography,Thriller,6.3500000000000005
Biography,Action,6.645786516853929
Biography,Western,6.150000000000001
Biography,Adventure,6.768780487804878
Biography,Mystery,6.486486486486486
Biography,Comedy,6.858767772511845
Biography,Fantasy,6.607499999999999
Biography,Crime,6.653606557377049
Biography,Romance,6.570550161812294
Biography,Family,7.108421052631581
Biography,Drama,6.675343026827751
Biography,Musical,6.766666666666667
Biography,War,6.775845410628023
Biography,Animation,7.0902255639097715
Biography,Sport,7.033595284872298
Biography,History,7.000791065611908
Biography,Music,7.158349900596431
Biography,Biography,6.86861313868614
Biography,Documentary,7.297538837493441
Music,Horror,5.498684210526314
Music,Sci-Fi,5.72162162162162
Music,Thriller,5.845454545454544
Music,Action,5.728965517241379
Music,Western,5.882536382536382
Music,Adventure,6.131468531468532
Music,Mystery,6.2954838709677405
Music,Comedy,6.296101620674546
Music,Fantasy,7.289686098654707
Music,Crime,6.188194444444445
Music,Romance,6.262951082598235
Music,Family,6.661538461538461
Music,Drama,6.417011431682098
Music,Musical,6.519243986254296
Music,War,6.912244897959184
Music,Animation,6.819718309859156
Music,Sport,6.753846153846153
Music,History,7.293574297188755
Music,Music,7.631365313653149
Music,Biography,7.158349900596431
Music,Documentary,7.4334486735870655
History,Horror,5.858181818181817
History,Sci-Fi,5.8500000000000005
History,Thriller,6.477215189873416
History,Action,6.435958904109589
History,Western,6.311475409836063
History,Adventure,6.260996563573888
History,Mystery,6.5014925373134345
History,Comedy,6.551941747572822
History,Fantasy,6.3301204819277075
History,Crime,6.6672794117647065
History,Romance,6.445719844357978
History,Family,7.006962025316453
History,Drama,6.62542372881356
History,Musical,6.897674418604652
History,War,6.8328301886792415
History,Animation,6.927173913043476
History,Sport,7.268333333333336
History,History,6.874463937621833
History,Music,7.293574297188755
History,Biography,7.000791065611908
History,Documentary,7.292046556741022
Sport,Horror,4.609090909090909
Sport,Sci-Fi,5.800000000000002
Sport,Thriller,5.654838709677418
Sport,Action,6.018450184501845
Sport,Western,6.566666666666666
Sport,Adventure,6.867289719626169
Sport,Mystery,6.2299999999999995
Sport,Comedy,5.887007299270075
Sport,Fantasy,6.48
Sport,Crime,6.08961038961039
Sport,Romance,5.912546125461258
Sport,Family,6.115
Sport,Drama,6.267961783439485
Sport,Musical,6.047619047619047
Sport,War,6.590909090909091
Sport,Animation,6.5883720930232545
Sport,Sport,6.911111111111112
Sport,History,7.268333333333336
Sport,Music,6.753846153846153
Sport,Biography,7.033595284872298
Sport,Documentary,7.382243517474646
Animation,Horror,6.246666666666668
Animation,Sci-Fi,6.3287878787878755
Animation,Thriller,6.56
Animation,Action,6.5966227347611275
Animation,Western,6.050000000000001
Animation,Adventure,6.341240716470079
Animation,Mystery,6.445454545454546
Animation,Comedy,6.323977591036409
Animation,Fantasy,6.445794392523371
Animation,Crime,6.865048543689318
Animation,Romance,6.699999999999998
Animation,Family,6.2912356321839065
Animation,Drama,6.818007662835247
Animation,Musical,6.299999999999998
Animation,War,6.681818181818183
Animation,Animation,6.471153846153841
Animation,Sport,6.5883720930232545
Animation,History,6.927173913043476
Animation,Music,6.819718309859156
Animation,Biography,7.0902255639097715
Animation,Documentary,7.396603773584906
War,Horror,5.054545454545455
War,Sci-Fi,5.515384615384614
War,Thriller,5.8849246231155785
War,Action,5.775951293759509
War,Western,5.81578947368421
War,Adventure,5.902994011976047
War,Mystery,6.357142857142856
War,Comedy,6.350819672131146
War,Fantasy,6.3875
War,Crime,6.246428571428571
War,Romance,6.530745814307445
War,Family,6.654
War,Drama,6.471598046057243
War,Musical,6.329411764705884
War,War,6.088268156424583
War,Animation,6.681818181818183
War,Sport,6.590909090909091
War,History,6.8328301886792415
War,Music,6.912244897959184
War,Biography,6.775845410628023
War,Documentary,7.309015639374424
Musical,Horror,5.606060606060606
Musical,Sci-Fi,5.92608695652174
Musical,Thriller,6.234782608695654
Musical,Action,6.098387096774193
Musical,Western,6.038333333333333
Musical,Adventure,6.1569620253164565
Musical,Mystery,6.488888888888891
Musical,Comedy,6.08626506024096
Musical,Fantasy,6.433922261484099
Musical,Crime,6.164743589743593
Musical,Romance,6.197931480284422
Musical,Family,6.3125256673511245
Musical,Drama,6.425010855405993
Musical,Musical,6.60127620783956
Musical,War,6.329411764705884
Musical,Animation,6.299999999999998
Musical,Sport,6.047619047619047
Musical,History,6.897674418604652
Musical,Music,6.519243986254296
Musical,Biography,6.766666666666667
Musical,Documentary,7.262068965517241
Drama,Horror,5.444191983660962
Drama,Sci-Fi,5.75039133052379
Drama,Thriller,5.874663258283357
Drama,Action,5.861055192081849
Drama,Western,6.014336352894842
Drama,Adventure,6.031843871423491
Drama,Mystery,6.027354883559253
Drama,Comedy,6.256843161200297
Drama,Fantasy,6.2631236442516265
Drama,Crime,6.095734953341304
Drama,Romance,6.215274631936568
Drama,Family,6.465458381281164
Drama,Drama,6.411119705720602
Drama,Musical,6.425010855405993
Drama,War,6.471598046057243
Drama,Animation,6.818007662835247
Drama,Sport,6.267961783439485
Drama,History,6.62542372881356
Drama,Music,6.417011431682098
Drama,Biography,6.675343026827751
Drama,Documentary,7.24564564564564
Family,Horror,5.3112676056338035
Family,Sci-Fi,5.566972477064221
Family,Thriller,6.1428571428571415
Family,Action,5.7018907563025225
Family,Western,6.217647058823529
Family,Adventure,5.9805567095970105
Family,Mystery,6.062091503267974
Family,Comedy,5.950091240875905
Family,Fantasy,5.93352236925016
Family,Crime,6.161224489795918
Family,Romance,6.17921022067364
Family,Family,6.307400000000006
Family,Drama,6.465458381281164
Family,Musical,6.3125256673511245
Family,War,6.654
Family,Animation,6.2912356321839065
Family,Sport,6.115
Family,History,7.006962025316453
Family,Music,6.661538461538461
Family,Biography,7.108421052631581
Family,Documentary,7.346998867497182
Romance,Horror,5.436253041362535
Romance,Sci-Fi,5.753358208955225
Romance,Thriller,5.8198250728863
Romance,Action,5.766173752310539
Romance,Western,6.012244897959182
Romance,Adventure,5.805272407732863
Romance,Mystery,6.045661450924607
Romance,Comedy,6.01312766418611
Romance,Fantasy,6.1700228832952
Romance,Crime,6.025633598841417
Romance,Romance,6.067866868381247
Romance,Family,6.17921022067364
Romance,Drama,6.215274631936568
Romance,Musical,6.197931480284422
Romance,War,6.530745814307445
Romance,Animation,6.699999999999998
Romance,Sport,5.912546125461258
Romance,History,6.445719844357978
Romance,Music,6.262951082598235
Romance,Biography,6.570550161812294
Romance,Documentary,6.985465116279071
Crime,Horror,5.34210053859964
Crime,Sci-Fi,5.59896907216495
Crime,Thriller,5.900188536953227
Crime,Action,5.79798938843896
Crime,Western,5.971014492753623
Crime,Adventure,5.71138047138047
Crime,Mystery,6.077285318559553
Crime,Comedy,5.960545708026295
Crime,Fantasy,5.78480392156863
Crime,Crime,6.103659101435852
Crime,Romance,6.025633598841417
Crime,Family,6.161224489795918
Crime,Drama,6.095734953341304
Crime,Musical,6.164743589743593
Crime,War,6.246428571428571
Crime,Animation,6.865048543689318
Crime,Sport,6.08961038961039
Crime,History,6.6672794117647065
Crime,Music,6.188194444444445
Crime,Biography,6.653606557377049
Crime,Documentary,7.0092206366630005
Fantasy,Horror,5.4011818778726175
Fantasy,Sci-Fi,5.47714884696017
Fantasy,Thriller,5.5197568389057805
Fantasy,Action,5.557032348804492
Fantasy,Western,5.527272727272727
Fantasy,Adventure,5.663123899001758
Fantasy,Mystery,5.979014598540152
Fantasy,Comedy,5.885052065838111
Fantasy,Fantasy,6.24884038199182
Fantasy,Crime,5.78480392156863
Fantasy,Romance,6.1700228832952
Fantasy,Family,5.93352236925016
Fantasy,Drama,6.2631236442516265
Fantasy,Musical,6.433922261484099
Fantasy,War,6.3875
Fantasy,Animation,6.445794392523371
Fantasy,Sport,6.48
Fantasy,History,6.3301204819277075
Fantasy,Music,7.289686098654707
Fantasy,Biography,6.607499999999999
Fantasy,Documentary,6.976237623762375
Comedy,Horror,5.207111801242241
Comedy,Sci-Fi,5.526756352765314
Comedy,Thriller,5.789647577092511
Comedy,Action,5.670087719298236
Comedy,Western,5.8696
Comedy,Adventure,5.847749062109206
Comedy,Mystery,6.110413223140505
Comedy,Comedy,5.905591824178766
Comedy,Fantasy,5.885052065838111
Comedy,Crime,5.960545708026295
Comedy,Romance,6.01312766418611
Comedy,Family,5.950091240875905
Comedy,Drama,6.256843161200297
Comedy,Musical,6.08626506024096
Comedy,War,6.350819672131146
Comedy,Animation,6.323977591036409
Comedy,Sport,5.887007299270075
Comedy,History,6.551941747572822
Comedy,Music,6.296101620674546
Comedy,Biography,6.858767772511845
Comedy,Documentary,7.048885350318474
Mystery,Horror,5.263844961240314
Mystery,Sci-Fi,5.607228915662651
Mystery,Thriller,5.655252497974613
Mystery,Action,5.781979320531757
Mystery,Western,5.946511627906975
Mystery,Adventure,5.910329670329663
Mystery,Mystery,6.132296650717705
Mystery,Comedy,6.110413223140505
Mystery,Fantasy,5.979014598540152
Mystery,Crime,6.077285318559553
Mystery,Romance,6.045661450924607
Mystery,Family,6.062091503267974
Mystery,Drama,6.027354883559253
Mystery,Musical,6.488888888888891
Mystery,War,6.357142857142856
Mystery,Animation,6.445454545454546
Mystery,Sport,6.2299999999999995
Mystery,History,6.5014925373134345
Mystery,Music,6.2954838709677405
Mystery,Biography,6.486486486486486
Mystery,Documentary,6.9403225806451605
Adventure,Horror,4.8359190556492395
Adventure,Sci-Fi,5.403645200486024
Adventure,Thriller,5.640723270440254
Adventure,Action,5.64633431085041
Adventure,Western,5.801923076923076
Adventure,Adventure,5.70032223415683
Adventure,Mystery,5.910329670329663
Adventure,Comedy,5.847749062109206
Adventure,Fantasy,5.663123899001758
