startYear	Western	Horror	Adventure	Action	Musical	News	Sci-Fi	Game-Show	War	\N	Romance	Animation	Comedy	Talk-Show	Adult	Sport	Film-Noir	Crime	Thriller	Mystery	History	Music	Drama	Reality-TV	Biography	Short	Documentary	Fantasy	Family
1894	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1897	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0
1905	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	10	1	0
1906	0	0	1	1	1	1	0	0	0	5	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	0	15	0	0
1907	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	1	6	0	1	0	2	0	0
1908	0	0	1	0	0	1	0	0	0	13	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	6	1	0
1909	0	1	1	0	2	1	0	0	2	55	1	0	5	0	0	1	0	0	0	0	1	0	9	0	1	0	17	0	1
1910	1	1	2	1	2	1	0	0	0	49	1	0	3	0	0	3	0	2	0	1	3	1	21	0	1	0	26	1	1
1912	2	3	5	3	0	0	0	0	5	173	11	0	11	0	0	0	0	5	12	2	4	0	118	0	1	0	28	2	0
1911	2	0	2	1	0	0	1	0	2	83	4	0	7	0	0	0	0	1	1	0	3	0	54	0	2	0	15	2	0
1913	9	3	15	4	0	0	2	0	7	298	21	0	27	0	0	2	0	38	12	5	16	1	257	0	4	0	36	6	0
1915	29	6	56	23	0	0	5	0	39	564	65	0	134	0	0	7	0	88	7	36	26	1	768	0	7	0	63	8	1
1914	15	6	40	16	0	0	0	0	27	427	35	0	69	0	1	1	0	56	17	12	21	1	536	0	6	0	56	6	2
1919	89	16	81	63	1	1	5	0	31	858	154	0	342	0	0	14	0	162	14	37	22	4	1054	0	7	0	72	10	0
1916	42	13	40	43	0	0	8	0	33	660	106	1	184	0	0	4	0	123	10	32	21	2	1121	0	4	0	46	13	1
1917	77	11	50	43	1	0	2	0	48	695	108	1	220	0	0	5	0	146	9	41	25	2	1125	0	10	0	26	22	6
1936	126	16	100	94	126	2	7	0	30	413	263	4	522	0	1	15	11	195	22	66	35	100	931	0	14	0	231	13	36
1925	230	8	96	87	2	0	6	0	14	749	154	9	229	0	0	16	0	50	9	13	29	8	784	1	12	0	88	15	9
1918	90	6	45	44	0	0	6	0	72	760	146	3	307	0	0	3	0	105	15	48	16	1	1041	0	10	0	69	14	5
1920	85	23	102	55	2	1	5	0	13	1170	113	3	258	0	0	14	0	183	9	55	17	3	935	0	5	0	69	11	2
1922	130	7	69	52	1	0	2	0	7	1019	158	0	216	0	0	13	0	77	12	26	25	3	746	0	10	0	51	12	9
1921	109	11	84	47	2	0	6	0	5	1309	130	1	241	0	0	4	0	82	7	66	15	1	793	0	3	0	52	21	6
1924	177	8	59	51	3	0	3	0	14	863	132	3	162	0	0	8	0	59	8	22	27	7	664	1	9	0	36	10	6
1923	107	8	74	43	0	0	2	0	12	834	135	3	191	0	0	12	0	60	8	21	25	2	707	0	16	0	86	18	5
1928	140	8	80	89	3	0	0	0	35	569	203	2	252	0	0	13	2	59	19	23	43	17	1079	0	11	0	113	5	9
2019	61	1316	710	1393	216	13	388	3	162	859	1275	522	3435	22	162	364	0	993	1515	633	582	621	6906	80	762	4	7107	459	660
2021	62	1418	615	1338	229	14	465	3	121	871	1214	495	2896	41	107	318	0	907	1639	582	394	567	6481	57	603	6	6216	511	504
1926	180	7	111	124	1	0	0	0	27	507	218	2	275	0	0	9	0	57	17	21	34	4	975	0	13	0	86	8	4
1927	146	9	78	90	4	1	3	0	34	561	209	3	303	0	0	15	1	67	15	18	28	5	1037	0	6	0	122	5	9
1929	92	7	90	72	59	1	5	0	21	565	207	0	217	0	0	17	1	95	20	44	30	53	1039	0	9	0	104	8	6
2000	12	269	199	524	102	2	112	0	85	912	616	111	1301	2	27	82	0	491	487	173	141	247	2454	8	205	1	2123	174	242
1993	18	151	152	608	82	6	74	1	77	993	444	80	931	3	121	33	0	449	379	132	107	163	2019	2	152	0	934	141	186
1935	130	22	86	91	131	4	8	0	21	400	268	4	459	0	0	9	3	143	17	72	29	102	864	0	14	0	72	21	19
1930	80	4	65	65	132	0	1	0	25	506	269	4	304	0	0	8	0	122	10	33	24	71	927	0	7	0	133	15	13
1942	119	15	87	66	68	0	4	0	124	259	189	1	421	0	0	8	21	129	36	58	34	105	686	0	21	0	66	10	34
1932	105	21	59	63	71	0	7	0	23	411	218	3	381	0	0	26	7	156	14	64	18	51	912	0	5	1	244	10	8
1931	92	15	46	54	77	1	5	0	25	511	219	3	351	0	0	10	4	145	17	40	11	53	1003	0	10	0	75	10	12
1934	62	12	77	48	114	0	7	0	22	419	278	1	447	0	1	11	2	134	17	77	27	105	882	0	14	0	86	13	15
1939	113	25	124	105	97	0	7	0	56	373	236	2	472	0	1	9	14	184	25	60	34	129	912	0	22	0	90	19	45
\N	887	10121	4558	10640	781	71	5056	21	878	4863	4081	1710	14419	26	120	767	0	4642	13161	2443	1658	701	29823	207	2731	5	8269	3270	2026
1937	121	8	105	106	128	2	5	0	48	352	293	4	524	0	0	18	11	186	21	52	38	136	948	0	14	0	202	16	34
1933	52	18	66	63	88	1	7	0	29	406	228	1	413	0	0	12	1	129	15	57	14	80	867	0	7	0	235	17	14
1950	128	12	113	97	103	2	6	0	56	409	163	8	408	0	0	16	69	217	33	48	32	57	987	0	21	0	125	38	62
1938	107	4	112	89	121	2	8	0	61	373	274	2	523	0	0	17	11	181	19	60	38	133	988	0	20	0	86	9	35
1951	108	16	118	76	129	1	19	0	78	362	213	13	440	0	0	22	59	180	43	35	40	77	1052	1	26	0	87	44	71
1946	97	18	73	74	88	0	3	0	76	246	172	5	311	1	0	1	62	139	26	69	15	85	723	0	19	0	52	30	31
1940	125	18	109	75	90	1	7	0	47	350	201	4	445	0	0	10	12	124	16	59	33	107	793	0	28	0	59	28	42
1944	97	22	61	49	83	0	6	0	105	219	182	14	299	0	0	4	38	89	18	47	29	114	535	0	18	0	40	25	29
1947	97	7	89	72	88	0	3	0	36	260	170	8	343	0	0	12	68	157	35	54	30	89	869	0	21	0	91	29	55
1941	122	17	94	59	91	0	5	0	59	261	207	6	467	0	0	11	21	111	17	63	33	117	692	0	16	0	56	18	32
1952	109	11	141	88	126	1	13	0	50	486	202	8	502	0	0	18	35	152	40	36	37	75	1029	0	38	0	134	52	78
